	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	episode_key	title	season	sequence_in_season	air_date	title_upper	title_camel	johanw	memory_alpha	imdb
0	0	0	0	101	Encounter at Farpoint	1	1	1987-09-26 0:00:00	ENCOUNTER AT FARPOINT	Encounter At Farpoint	Pilot episode for the series. While en route to investigate problems on Farpoint station, the Enterprise meets the mysterious super-powered Q. Q condemns humanity and challenges them to solve the mystery at Farpoint.	"The year is 2364. Captain Jean-Luc Picard has assumed command of the new starship, the Galaxy-class USS Enterprise-D, the fifth Federation starship to bear the name Enterprise. The vessel is about to embark on its first mission to Deneb IV, beyond which lies the great unexplored mass of the galaxy. Picard, in his log, notes that he is impressed with the size and complexity of the ship as he walks through the Enterprise, surveying engineering, then finally enters the bridge, manned by tactical officer Lieutenant Natasha Yar, Lieutenant Worf, Counselor Deanna Troi and Lieutenant Commander Data. Picard continues with his log, in which he reports that the ship is en route to Farpoint Station and that the ship is short in several key positions, most notably a first officer, but Picard is informed that a very experienced officer, one William T. Riker, will fill the position. Picard sits at the captain's chair and makes an off-hand comment on how Starfleet wants the crew of the Enterprise to ""snoop"" around Farpoint station, to which Data makes an inquiry into the definition of the word snoop. Picard wonders how Data, a complex android with encyclopedic knowledge does not know the meaning of a basic word like ""snoop"". Data responds that he possibly was not designed to emulate this type of Human behavior. Picard says that it means ""to spy, to sneak."" Data responds, ""Ah, to seek covertly, to go stealthily, to slink, slither, creep, skulk, pussyfoot, gum…"" ""Yes"" Picard interjects, to which Data finishes, ""…shoe."" Suddenly, Counselor Troi senses a powerful mind. The ship then goes to red alert, with the familiar alert sound blaring through the bridge. Then, conn officer Lieutenant Torres reports that there is something reading as strange on his detector circuit. A large field begins to appear in front of the Enterprise, which reads as solid. Picard calls for Yar to turn off ""that damned noise!"" and go to yellow alert. Picard orders helm to make the ship come to a full stop. Soon after controls read full stop, a white light shines on the bridge and a humanoid emerges, dressed from 16th century Europe. Picard asks the being to identify itself. The being notes that he is called ""Q"" and walks around the bridge, while Torres discreetly takes a hand phaser out from the bottom of his console. Q, however, senses this and freezes Torres before he can fire. Q, after showing his ability, warns the crew of the Enterprise to go back to Earth or they shall most certainly die. "	On the maiden mission of the U.S.S. Enterprise (NCC-1701-D), an omnipotent being known as Q challenges the crew to discover the secret of a mysterious base in an advanced and civilized fashion.
1	1	1	1	103	The Naked Now	1	2	1987-10-03 0:00:00	THE NAKED NOW	The Naked Now	" A sequel episode to ""The Naked Time"" episode of the old series. The Enterprise rendezvouses with the science vessel U.S.S. Tsiolkovsky and find the entire crew dead. Unknowingly, they bring back to the Enterprise the strange infection that caused the crew of the science vessel to go crazy. The crew of the Enterprise discover that the cure found by the first Enterprise for this disease does not work due to a mutation in the virus.  "	"The USS Enterprise-D has been assigned to investigate a loss of contact with the SS Tsiolkovsky, which had been assigned to observe the final days of a dying red supergiant star. Opening communications, the Enterprise bridge crew hear a woman speaking in a seductive voice. In confusion, Data requests for the woman to repeat her message, in which she states that a huge 'blowout' is about to occur. Many other crew on the Tsiolkovsky begin laughing and are shouting encouragement before a large explosive sound is heard followed by silence. Captain Picard requests a report. Data responds stating that the crew had just opened an emergency hatch. This prompts Commander Riker to stand up and head to the turbolift, followed by Data, Geordi La Forge and Natasha Yar, to beam over to the Tsiolkovsky. As they leave, Worf reports to Picard that sensor scans have revealed that there are no life signs on board the ship. On the Tsiolkovsky, the ship is on red alert as the away team spreads out to investigate the ship. The corridors are quiet, but are littered with discarded items and food. The walls are also covered with phaser burn marks. Data states that the mess in the corridor indicates a ""wild party"", to which Riker agrees. They approach a distorted screen which Riker makes out as the bridge. Data successfully repairs the screen to clear the static, to which they see the bridge is empty of all loose items, and people; and is open to space; the emergency hatch was indeed blown. Riker remarks the crew were all sucked out into space, to which Data corrects him, stating that they were instead ""blown out."" Yar contacts Riker from engineering, stating that ten people present there are frozen. Someone had modified the environmental controls, venting all heat into space. In the crew quarters, La Forge witnesses many nude or barely clothed bodies, all frozen. He enters the bathroom and opens the shower to find a fully-clothed woman frozen, who falls in his arms. La Forge feels something strange in his hands and rubs his fingers together after gently letting the frozen woman fall to the ground. Riker contacts the Enterprise to submit his report. He reports to Picard that the crew – all 80 people, are dead. "	The crew of the Enterprise is infected with a virus that causes them to behave as though they were intoxicated.
2	2	2	2	104	Code of Honor	1	3	1987-10-10 0:00:00	CODE OF HONOR	Code Of Honor	The Enterprise travels to Ligon II to obtain a rare vaccine needed to avert a plague on another planet. The Logonian leader kidnaps Tasha as part of the traditions of his planet. Eventually she is forced to fight a battle to the death with the wife of the leader in order to gain her freedom and the vaccine.	"The USS Enterprise-D has traveled to Ligon II for a vaccine, found only on that planet, that is needed to cure a plague, Anchilles fever, on the Federation planet Styris IV. Captain Picard has to negotiate with the Ligonian leader Lutan for the vaccine. Picard, Troi and Riker meet up with Natasha Yar in cargo bay 1 to greet the Ligonians. While travelling to the cargo bay in a turbolift, Riker and Troi inform Picard that the Ligonians are a closely humanoid race with similarities to Human culture, as well as an extremely proud race of people with a highly-structured society. The Ligonians beam over with a red carpet, which is rolled out before Lutan himself beams over. Picard greets him, and Lutan introduces his secondary Hagon. Picard then introduces his crew. Immediately, Lutan is intrigued that a woman, Yar, is in charge of security on the Enterprise. Hagon approaches Picard with a sample of the vaccine, and brushes Yar out of the way when she tries to take it from him. Yar then throws Hagon to the ground before inspecting the vaccine and giving it to Picard. Troi recommends not to apologize for the incident as the Ligonians would view this as a sign of weakness. Picard thanks Lutan and invites them to stay for entertainment. Lutan agrees, however, once the Enterprise crew leaves, he tells Hagon that Yar may be ""just what he needs."" "	When the leader of an alien culture takes a romantic interest in Lt. Yar, he claims her for his own, to the dismay of his own wife, who, in turn, challenges Tasha in a fight to the death.
3	3	3	3	107	The Last Outpost	1	4	1987-10-17 0:00:00	THE LAST OUTPOST	The Last Outpost	A Ferengi vessel steals an energy unit from a Federation base and the Enterprise pursues. Both ships are rendered immobile as they pass an unknown solar system. Believing each other responsible for the immobility, they discuss surrender. Meanwhile, an Enterprise probe discovers that a force-field on the nearby planet is actually responsible and a joint expedition of Ferengi and Federation personnel, beam down to explore. They encounter a mysterious being known as Portal who presents them a test.	The USS Enterprise-D is in pursuit of a Ferengi vessel suspected of stealing a Federation-owned T-9 energy converter from Gamma Tauri IV. The mission is also a long-awaited opportunity to encounter the Ferengi, who have never established visual contact with the Federation. The pursuit ends when the Ferengi ship gets close to a planet in the Delphi Ardu system and goes to sub-warp speed, possibly suffering a power surge and damage to their engines. After a while, it opens fire on the Enterprise, causing her minimal damage. Captain Picard chooses not to return fire, arguing that the Ferengi are just reacting to the Enterprise's pursuit. Soon after, however, the Enterprise also suffers a power system failure, becoming immobilized with phasers and shields off-line. 	The Enterprise makes a confrontational first contact with the piratical Ferengi race as their two ships are ensnared by a presumed dead planet ready to judge them.
4	4	4	4	106	Where No One Has Gone Before	1	5	1987-10-24 0:00:00	WHERE NO ONE HAS GONE BEFORE	Where No One Has Gone Before	" An engineer and his alien assistant board the Enterprise to perform an experiment that would increase warp engine output. During the experiment, something goes wrong and the Enterprise ends up in a place where thoughts become real. The assistant from a race of ""travelers"" with the scientific capabilities far beyond ours who tour the universe seeking those with potential. The traveler confides to Picard that Wesley is one of those beings with potential and should be guided and helped to grow. It is as a result of these comments, plus the knowledge and help that Wesley provides in Engineering that prompts Picard to make Crusher an acting ensign.  "	The USS Enterprise-D has rendezvoused with the Excelsior-class starship USS Fearless in order to take on a Starfleet propulsion specialist who will perform an upgrade on the ship's warp drive. He has already performed the upgrade on the Fearless, as well as the USS Ajax. Both these ships reported a notable increase in engine efficiency. Riker, however, is not convinced. He and Data have run a controlled test of the formulae that the engineer, Kosinski, has sent over, and found them to have no effect. Picard reasons that there's no harm in letting him come over and attempt the upgrade, especially since it doesn't change the hardware.  Riker is still skeptical, so Picard sends him to meet Kosinski when he beams aboard, along with his assistant. Riker, Troi, and Chief Engineer Argyle go to meet him in the transporter room. Kosinski is pompous and arrogant. He asks why the captain isn't there to meet him and demands to be taken to engineering. As he leaves, Troi comments to Riker that Kosinski is as he appears – loud and arrogant – but she can sense nothing from his assistant, not even his presence. Riker tells Troi to stay concerned, as the safety of the Enterprise may be entrusted to the two of them. 	Everyone accurately pegs a visiting propulsion scientist as a charlatan, but only Wesley Crusher recognizes his alien assistant as the real deal.
5	5	5	5	108	Lonely Among Us	1	6	1987-10-31 0:00:00	LONELY AMONG US	Lonely Among Us	While on a mission to transport emissaries of two warring races to Parliament for negotiations, the Enterprise encounters a strange cloud consisting entirely of energy. As they pass, a bolt of energy strikes Worf and passes from crewman to crewman, killing one crewman and eventually taking over Picard's mind.	"The USS Enterprise-D has begun orbiting the two major planets in the Beta Renner system, Antica and Selay. The two species of those worlds, the Anticans and the Selay, have both achieved space flight and they have applied to become members of the United Federation of Planets. However, the two species are mortal enemies. The Enterprise has been ordered to transport both peoples to a neutral planet called Parliament, in the hopes of resolving their conflicts. On the Enterprise, Captain Jean-Luc Picard, Commander William T. Riker and Lieutenant Natasha Yar stand in the transporter room wearing their dress uniforms awaiting the delegates. The delegates from Selay beam on board. Picard introduces himself to Ssestar, a male Selay. Riker is about to lead them to their accommodations, but Ssestar insists that the Selay's quarters be upwind from the Anticans and be as far away as possible. Riker attends to this and leads them to their quarters. After the delegation leaves the transporter room, Yar tells Picard that neither species seems like promising Federation candidates. Picard agrees and believes that Parliament's peacemakers may have difficulty satisfying the two species' needs. Later on, the Enterprise leaves orbit of Selay on course for Parliament. On the bridge, Lieutenant Commander Data notes that his sensors are picking up an unusual energy object ahead of the Enterprise. On the viewscreen, an enormous cloud is shown. Data notes that it is also traveling at warp speed. Picard, intrigued, orders Data to make a close sensor pass on the cloud, then jump back to warp speed so they are still on schedule for Parliament.  In sensor maintenance, Lieutenants Geordi La Forge and Worf are running diagnostics on sensor assemblies. La Forge wonders why Worf is so interested in routine maintenance on sensors. Worf tells him it is simple, because Picard wants his junior officers to ""learn, learn, learn"". Yar signals sensor maintenance to see if there are any problems with systems, since they are making a close sensor pass. La Forge replies that all equipment is online and functioning perfectly. The Enterprise begins scanning the cloud. Worf, while working at a console, hears a strange noise. He goes over to investigate, but his body is struck by swirling blue energy. The energy discharges from Worf and he falls to the floor, unconscious. La Forge rushes over to Worf's side and taps his combadge, signaling a medical emergency. "	While distracted by two antithetical races applying for Federation membership, the Enterprise picks up a sentient entity that can alternately possess either man or machinery.
6	6	6	6	109	Justice	1	7	1987-11-07 0:00:00	JUSTICE	Justice	The Enterprise travels to the idyllic world of Rubicam 3, home to a race of people known as the Edo, for shore leave. Wesley falls afoul of their justice system which demands that anyone who commits a crime be executed immediately. Picard must then choose between Wesley and obeying the Prime Directive. To complicate matters, a strange alien presence surrounds the world and is worshipped by the Edo as a God. It has unlimited power and does not want Picard interfering with the Edo's laws.	"Upon his return back from the surface, Commander Riker tells everyone on the bridge with great enthusiasm about the planet; he explains that the planet's inhabitants, the Edo, are almost identical to Humans, and that it is a class M planet, beautiful and stunning. Doctor Crusher suggests shore leave for everyone, stating that nothing is better than fresh air and open spaces. Lieutenant Natasha Yar states that the inhabitants' laws and customs are pretty straightforward and nothing out of the ordinary. What is special about them, however, says Geordi La Forge, is their great affection for others… and the fact that the Edo make love at the drop of a hat. ""Any hat,"" Yar adds. The doctor's suggestion of shore leave is approved but only for a small group at first. Among them is Wesley Crusher, whom the captain personally designates as the one to evaluate this planet as a place for young people to relax. If their scans and observations support the report from the away team, then shore leave for the entire crew will be approved, says Captain Picard. He just hopes the planet it is not too good to be true. Before they beam down, however, Commander Data continues to receive a faulty reading in the sensors, indicating there is something in orbit, despite the fact that nothing appears on the viewscreen. "	On an alien planet, young Wesley Crusher commits a transgression - small by our standards but mandatorily punishable by death in theirs.
7	7	7	7	110	The Battle	1	8	1987-11-14 0:00:00	THE BATTLE	The Battle	The Enterprise meets a Ferengi Vessel whose captain, Bok, blames Picard for the death of his son while Picard commanded the Stargazer. Bok returns the derelict Stargazer to the Federation as a gift but has secretly placed a mind altering device on board. Using this device, Bok attempts to get revenge on Picard by causing him to believe that he still commands the Stargazer and the Enterprise is the alien ship.	"In response to an order from Starfleet, the USS Enterprise-D has been sent to the Xendi Sabu system to rendezvous with a Ferengi Alliance vessel. For three days there has been no message from the Ferengi except for ""Stand by, Enterprise."" Dr. Crusher comes to see Captain Picard in his quarters, where he complains of feeling fatigued and having a terrible headache. Crusher is so surprised at his suggested diagnosis of a headache she says ""A what?"" and an annoyed Picard repeats his diagnosis. Crusher assures Picard she knows what a headache is but says that she doesn't encounter them often. She examines him and can find nothing wrong but tells him to come to sickbay all the same. He begins to refuse when she orders him to go and says ""You've got an order to report to sickbay from the only person aboard this ship who can give you an order."" Just then the Ferengi hail the Enterprise. Picard returns to the bridge and talks with the Ferengi captain, DaiMon Bok, over the Enterprise's viewscreen. Bok claims to know Picard, but Picard doesn't recognize Bok at all. He wants to meet Picard in person, so despite being wary of his intentions, Picard agrees to meet him aboard the Enterprise. "	Beware Ferengi bearing gifts. Capt. Picard receives the Stargazer, a ship considered lost that he once commanded.
8	8	8	8	111	Hide and Q	1	9	1987-11-21 0:00:00	HIDE AND Q	Hide And Q	" Again, the control of the Enterprise is seized by the mysterious alien known as Q. This time, Q transports the entire bridge crew except Picard to a desolate planet and forces them to play a deadly game. The game's true purpose is to test Riker to see if he is worthy of receiving the power of the ""Q"".  "	Having dropped Deanna Troi off at Starbase G-6 for a shuttlecraft ride to Betazed, the USS Enterprise-D is fortunately close to the Sigma III solar system, when its Federation colony transmits an urgent call for medical help. An accidental explosion has devastated a mining operation there. There are 504 colonists at the site. Doctor Beverly Crusher is hurriedly preparing her medical staff to treat the massive number of injured colonists. En route to the mining colony at warp 9.1, the Enterprise is once again trapped in Q's force field grid. Q appears as an Aldebaran serpent on the bridge of the Enterprise, and informs the bridge crew that the Q Continuum, after studying their recent contact with Humanity, are mostly impressed by them and wishes to discuss it. Picard urgently asks to wait until they've completed their mission, but Q demands he abandon it. He then changes into a Starfleet admiral. 	The Enterprise encounters Q again, and he tempts Riker by endowing him with the powers of the Q.
9	9	9	9	105	Haven	1	10	1987-11-28 0:00:00	HAVEN	Haven	The Enterprise arrives at Haven, a paradise planet. There, Troi meets her fiancee of a pre-arranged marriage for the first time and is torn between her life in Starfleet and her devotion to her family and customs.	"The USS Enterprise-D arrives at the planet Haven. Captain Picard notes that the planet has been said to mend souls and heal broken hearts. Lieutenant Commander Data tells the captain that those legends are completely unsupported by fact; but Picard believes that such legends are the spice of the universe, as they sometimes can become true. Meanwhile, Commander Riker sits in his quarters, relaxing to miniature holograms of attractive women playing harps. Just then, security chief Lieutenant Yar informs the commander that his presence is requested in Transporter room 1. ""Sorry, ladies. Duty calls"", he says before deactivating the holographic interface. Arriving at the transporter, Riker asks what he is needed for. She answers that an object is being beamed up to the Enterprise but does not know what it is. The transporter chief informs them that Haven has approved the beam up and the object materializes on the transporter pad. Riker finds it odd looking. Counselor Troi then enters, asking what is going on. The box's ""face"" opens its eyes and states ""I hold a message for Deanna Troi. Lwaxana Troi and the honorable Miller family will soon arrive. The momentous day is close at hand. Rejoice! Ha, ha, ha!"" After frightening Yar, a compartment underneath the ""face"" opens, spilling jewels onto the transporter pad. Troi tells Lieutenant Yar that the jewels are ""bonding gifts"", or what Humans would call wedding presents. When asked by Commander Riker who is getting married, Troi says ""I am."" "	While on a mission to a planet called Haven, Counselor Troi meets her husband to be, a marriage arranged by her father years before, as the Enterprise encounters a ship far deadlier than any combat could provide.
